,address,zip-code,lat,lng,cluster-label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,"ул. Московская,16",220001,53.887919,27.5381191,1,Coffee Shop,Gym / Fitness Center,Hotel,Dance Studio,Doner Restaurant,Beer Bar,Science Museum,Bath House,Theater,Metro Station
1,"ул. Сторожевская, 8",220002,53.912948899999996,27.5554527,1,Gym,Scenic Lookout,Arts & Crafts Store,Karaoke Bar,Buffet,Theater,Basketball Court,Beer Store,Belarusian Restaurant,Spa
2,"ул. Одинцова, 113",220003,53.900651399999994,27.427531800000004,4,Department Store,Furniture / Home Store,Café,Park,Fishing Store,Supermarket,Food & Drink Shop,Flower Shop,Food,Fish Market
3,"ул. М.Танка,36, к.2,",220004,53.9086282,27.5294632,1,Gym,Clothing Store,Café,Wine Shop,Concert Hall,Gift Shop,Shopping Mall,Electronics Store,Bakery,Casino
4,"пр. Независимости, 46",220005,53.91281499999999,27.5807098,1,Coffee Shop,Cosmetics Shop,Auto Garage,Hostel,Café,Temple,Tea Room,Fountain,Miscellaneous Shop,Bookstore
5,"ул. Маяковского, 8",220006,53.8835694,27.566464899999996,1,Coffee Shop,Pharmacy,Soccer Field,Rental Car Location,Athletics & Sports,Photography Lab,Nightclub,Food & Drink Shop,Sports Bar,Bike Trail
6,"ул. Жуковского, 6, к.2",220007,53.88244659999999,27.5497952,1,Athletics & Sports,Pharmacy,Soccer Field,Hostel,Sports Club,Beer Store,Shoe Store,Lounge,Park,Bakery
7,"пр. Независимости, 20",220008,53.8999924,27.5586274,1,Bar,Cocktail Bar,Restaurant,Coffee Shop,French Restaurant,Plaza,Boutique,Modern European Restaurant,Pub,Gastropub
8,"ул. Чеботарева, 1/6",220009,53.8899568,27.6112189,1,Doner Restaurant,Coffee Shop,Liquor Store,Grocery Store,Gym,Auto Garage,Park,Eye Doctor,Burger Joint,Furniture / Home Store
9,"ул. Советская,11",220010,53.896201,27.5448597,1,Coffee Shop,Jewelry Store,Italian Restaurant,Boutique,Eastern European Restaurant,Theater,Fish Market,Tea Room,Lingerie Store,Gastropub
10,"Привокзальная пл.,3",220011,53.8906326,27.550621000000003,1,Coffee Shop,Casino,Fountain,Fast Food Restaurant,Hobby Shop,Multiplex,Fried Chicken Joint,Sushi Restaurant,Men's Store,Spa
11,"пр. Независимости, 91",220012,53.92383620000001,27.6102492,1,Pet Store,Gourmet Shop,Park,Auto Workshop,Theme Park Ride / Attraction,Mobile Phone Shop,Soccer Field,Paper / Office Supplies Store,Pharmacy,Asian Restaurant
12,"ул. Я.Коласа, 31",220013,53.9242816,27.5911224,1,Coffee Shop,Bar,Doner Restaurant,Arcade,Sporting Goods Shop,Gym / Fitness Center,Cosmetics Shop,Hookah Bar,Electronics Store,Middle Eastern Restaurant
13,"ул. С.Ковалевской, 61",220014,53.867016500000005,27.5112945,0,Cafeteria,Photography Studio,Café,Bistro,Auto Garage,Coffee Shop,Tourist Information Center,Soccer Field,Zoo Exhibit,Event Space
14,"ул. Я.Мавра, 33а",220015,53.897033900000004,27.4914757,1,Auto Garage,Department Store,Park,Pub,Cosmetics Shop,Grocery Store,Intersection,Coffee Shop,Dog Run,Tailor Shop
15,"ул. К.Маркса, 38",220016,53.900368500000006,27.5644425,1,Cocktail Bar,Hookah Bar,Wine Bar,Restaurant,Hotel,Circus,Flower Shop,Bookstore,Café,Beer Bar
16,"ул. Кунцевщина, 35",220017,53.914415399999996,27.434830100000003,1,Supermarket,Gym,Pharmacy,Clothing Store,Caucasian Restaurant,Asian Restaurant,Cafeteria,Big Box Store,Italian Restaurant,Gym / Fitness Center
17,"ул. Якубовского, 32",220018,53.8971674,27.4521196,1,Track,Hotel,Theme Park Ride / Attraction,Electronics Store,Supermarket,Home Service,Gym / Fitness Center,Cafeteria,Park,Fabric Shop
18,"ул. Лобанка, 109",220019,53.8822002,27.4324538,3,Yoga Studio,Gym,Zoo Exhibit,Farmers Market,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Eye Doctor,Fabric Shop
19,"ул. Л. Украинки, 22",220020,53.9311816,27.490671000000003,1,Coffee Shop,Ice Cream Shop,Gym,Gym / Fitness Center,Café,Cosmetics Shop,Restaurant,Track,Park,Fast Food Restaurant
20,"пр. Партизанский, 107",220021,53.869384100000005,27.650115000000003,1,Food & Drink Shop,Café,Gym / Fitness Center,Pharmacy,Soccer Stadium,Farmers Market,Snack Place,Mobile Phone Shop,Furniture / Home Store,Beer Store
21,"ул. Шаранговича, 48",220022,53.882915399999995,27.439568100000002,0,Coffee Shop,Pizza Place,Shipping Store,Cafeteria,Vape Store,Beer Store,Farmers Market,Ethiopian Restaurant,Event Space,Eye Doctor
22,"пр. Независимости, 103",220023,53.928094200000004,27.626540999999996,0,Coffee Shop,Cafeteria,Dance Studio,Music Venue,Photography Studio,Café,Eastern European Restaurant,Pedestrian Plaza,Food & Drink Shop,Pharmacy
23,"ул. Асаналиева, 40, к.1",220024,53.850913600000005,27.5456794,1,Botanical Garden,Furniture / Home Store,Café,Pharmacy,Austrian Restaurant,Hardware Store,Shopping Mall,Pizza Place,Salon / Barbershop,Farmers Market
24,"ул. Есенина, 10",220025,53.8495964,27.4652115,1,Lingerie Store,Food & Drink Shop,Grocery Store,Bank,Coffee Shop,Seafood Restaurant,Belarusian Restaurant,Big Box Store,Chocolate Shop,Garden Center
25,"ул. Жилуновича, 26",220026,53.8696759,27.626944599999998,1,Movie Theater,Buffet,Bar,Bank,Bakery,Casino,Café,Tram Station,Athletics & Sports,Road
